2023-12-05 19:07:22,Draw, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Draw
2023-12-05 19:07:24,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:07:25,Draw, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Draw
2023-12-05 19:07:27,Draw, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Draw
2023-12-05 19:07:28,Winner:O, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Loss
2023-12-05 19:07:29,Draw, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Draw
2023-12-05 19:07:31,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
2023-12-05 19:07:32,Draw, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Draw
2023-12-05 19:07:33,Winner:O, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Loss
2023-12-05 19:07:34,Winner:O, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Loss
2023-12-05 19:07:35,Draw, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Draw
2023-12-05 19:07:36,Winner:X, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Win
2023-12-05 19:07:37,Winner:O, First Move: {'player': 'X', 'position': (1, 0)}, First Player Result: Loss
2023-12-05 19:07:38,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:07:39,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:07:40,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
2023-12-05 19:07:41,Winner:O, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Loss
2023-12-05 19:07:42,Winner:X, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Win
2023-12-05 19:07:43,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:07:47,Winner:O, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Loss
2023-12-05 19:07:48,Winner:X, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Win
2023-12-05 19:07:50,Draw, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Draw
2023-12-05 19:07:51,Winner:X, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Win
2023-12-05 19:07:52,Draw, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Draw
2023-12-05 19:07:53,Winner:O, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Loss
2023-12-05 19:07:54,Draw, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Draw
2023-12-05 19:07:55,Draw, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Draw
2023-12-05 19:07:58,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:07:59,Winner:X, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Win
2023-12-05 19:08:00,Winner:X, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Win
2023-12-05 19:08:02,Winner:O, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Loss
2023-12-05 19:27:37,Draw, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Draw
2023-12-05 19:27:44,Winner:X, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Win
2023-12-05 19:27:46,Winner:O, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Loss
2023-12-05 19:27:48,Winner:X, First Move: {'player': 'X', 'position': (1, 0)}, First Player Result: Win
2023-12-05 19:27:49,Draw, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Draw
2023-12-05 19:27:49,Winner:X, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Win
2023-12-05 19:27:50,Winner:O, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Loss
2023-12-05 19:27:51,Winner:O, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Loss
2023-12-05 19:27:52,Winner:O, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Loss
2023-12-05 19:27:52,Draw, First Move: {'player': 'X', 'position': (1, 0)}, First Player Result: Draw
2023-12-05 19:27:53,Draw, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Draw
2023-12-05 19:27:54,Winner:X, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Win
2023-12-05 19:27:54,Winner:X, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Win
2023-12-05 19:27:55,Winner:X, First Move: {'player': 'X', 'position': (1, 0)}, First Player Result: Win
2023-12-05 19:27:56,Winner:O, First Move: {'player': 'X', 'position': (1, 0)}, First Player Result: Loss
2023-12-05 19:27:56,Winner:X, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Win
2023-12-05 19:27:57,Draw, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Draw
2023-12-05 19:27:58,Winner:O, First Move: {'player': 'X', 'position': (1, 0)}, First Player Result: Loss
2023-12-05 19:27:59,Winner:O, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Loss
2023-12-05 19:27:59,Winner:X, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Win
2023-12-05 19:28:00,Winner:O, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Loss
2023-12-05 19:28:00,Winner:O, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Loss
2023-12-05 19:28:01,Winner:O, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Loss
2023-12-05 19:28:02,Draw, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Draw
2023-12-05 19:28:03,Winner:X, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Win
2023-12-05 19:28:03,Winner:X, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Win
2023-12-05 19:28:04,Draw, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Draw
2023-12-05 19:28:05,Winner:X, First Move: {'player': 'X', 'position': (0, 0)}, First Player Result: Win
2023-12-05 19:28:05,Winner:O, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Loss
2023-12-05 19:28:06,Draw, First Move: {'player': 'X', 'position': (1, 0)}, First Player Result: Draw
2023-12-05 19:28:07,Winner:X, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Win
2023-12-05 19:28:07,Winner:O, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Loss
2023-12-05 19:28:08,Winner:X, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Win
2023-12-05 19:28:09,Winner:X, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Win
2023-12-05 19:28:09,Draw, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Draw
2023-12-05 19:28:10,Winner:X, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Win
2023-12-05 19:28:11,Draw, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Draw
2023-12-05 19:28:11,Winner:O, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Loss
2023-12-05 19:28:12,Winner:X, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Win
2023-12-05 19:28:13,Draw, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Draw
2023-12-05 19:28:14,Winner:X, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Win
2023-12-05 19:28:15,Draw, First Move: {'player': 'X', 'position': (1, 1)}, First Player Result: Draw
2023-12-05 19:28:15,Winner:X, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Win
2023-12-05 19:28:16,Winner:O, First Move: {'player': 'X', 'position': (2, 1)}, First Player Result: Loss
2023-12-05 19:28:17,Draw, First Move: {'player': 'X', 'position': (0, 1)}, First Player Result: Draw
2023-12-05 19:28:18,Winner:X, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Win
2023-12-05 19:28:19,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:28:20,Winner:O, First Move: {'player': 'X', 'position': (2, 2)}, First Player Result: Loss
2023-12-05 19:28:20,Draw, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Draw
2023-12-05 19:28:21,Draw, First Move: {'player': 'X', 'position': (2, 0)}, First Player Result: Draw
2023-12-05 19:28:22,Draw, First Move: {'player': 'X', 'position': (1, 2)}, First Player Result: Draw
2023-12-05 19:28:23,Draw, First Move: {'player': 'X', 'position': (0, 2)}, First Player Result: Draw
